ALKYLAMINE,TATAINVEST,JSWHL,CONCOR,ICICIBANK,ASIANPAINT,ITC,INFY,TATACHEM,BAJAJFINSV,RATNAMANI,SOLARINDS,PGHL,BAJAJ-AUTO,NTPC,HONAUT,PETRONET,DABUR,KOTAKBANK,AKZOINDIA,AARTIIND,PIDILITIND,TCS,MARICO,ATUL,RELIANCE,BAJAJHLDNG,CUB,GRINDWELL,LT,NAUKRI,AIAENG,POWERGRID,HCLTECH,SKFINDIA,PGHH,COLPAL,SANOFI,HINDUNILVR,HDFCBANK,start,end,sharpe_ratio,returns,risk,method
134.6267547607422,442.9376220703125,999.3499755859376,388.7182922363281,222.03976440429688,833.8125,173.945068359375,450.4644470214844,334.8761901855469,197.5274658203125,338.316650390625,694.3548583984375,609.5687255859375,1935.7525634765625,83.4232406616211,8785.7666015625,98.67792510986328,254.1525115966797,724.1715698242188,1169.051025390625,123.02902221679688,531.0521850585938,1031.4605712890625,201.68777465820312,1613.742919921875,481.8385009765625,1438.611083984375,73.40218353271484,334.0500183105469,747.877197265625,852.6918334960938,856.5619506835938,50.159423828125,350.28533935546875,1056.8992919921875,4844.34228515625,841.8726196289062,3091.396728515625,756.8408203125,514.283203125,,,,,,
127.23011016845705,436.515869140625,995.0,377.7261047363281,215.7500457763672,835.7576904296875,172.6703643798828,439.72503662109375,333.36114501953125,195.10791015625,329.3878479003906,688.6965942382812,604.12548828125,1909.11474609375,82.7304458618164,8813.8115234375,95.09657287597656,254.61224365234372,702.3145751953125,1155.1376953125,122.02153778076172,533.0596923828125,1011.483642578125,200.0451812744141,1635.797607421875,472.3236999511719,1424.0716552734375,73.08442687988281,327.5057067871094,728.5886840820312,807.0050659179688,837.4641723632812,50.1416244506836,350.32672119140625,1035.2841796875,4841.53173828125,839.7610473632812,3060.410400390625,759.0056762695312,505.6625671386719,,,,,,
130.01992797851562,441.23052978515625,1011.2000122070312,367.5040283203125,216.72093200683597,854.5926513671875,172.5375518798828,437.7483520507813,330.3309326171875,193.76370239257807,323.8721923828125,705.3846435546875,601.42333984375,1923.7216796875,82.12428283691406,8810.7568359375,98.98272705078124,253.73876953125,704.754150390625,1144.954345703125,122.67755889892578,542.6195678710938,1002.6690063476562,203.90753173828125,1634.449462890625,476.998046875,1417.5953369140625,72.2105941772461,331.6905822753906,729.1396484375,796.4431762695312,828.2933959960938,49.50129699707031,349.02227783203125,1036.9169921875,4775.52294921875,839.7180786132812,3051.684814453125,749.241943359375,501.8365783691406,,,,,,
126.77123260498048,440.7428588867188,1001.1500244140624,360.6986083984375,211.1488494873047,841.0712890625,167.35902404785156,435.832763671875,339.5033874511719,193.0218963623047,326.0357666015625,702.1676635742188,598.6822509765625,1910.7674560546875,81.66240692138672,8784.287109375,102.18310546875,253.69276428222656,700.6216430664062,1135.02197265625,120.96721649169922,538.1265869140625,1016.6060180664062,201.42144775390625,1614.7542724609375,489.8346862792969,1419.6536865234375,72.17088317871094,325.9920654296875,717.5083618164062,786.2205810546875,815.1992797851562,49.62580108642578,348.44244384765625,1027.8929443359375,4876.24462890625,818.342529296875,3031.276611328125,744.912353515625,504.05657958984375,,,,,,
127.17504119873048,432.32952880859375,997.3499755859376,354.1733093261719,208.3205718994141,827.7398071289062,164.43783569335938,428.2723693847656,321.8955078125,191.8768615722656,322.74462890625,670.256591796875,585.8377075195312,1859.8370361328125,79.58405303955078,8789.265625,100.220947265625,246.1527862548828,688.722412109375,1127.017578125,119.70201873779295,532.1992797851562,1012.18798828125,198.62452697753903,1567.611328125,480.8419189453125,1422.184326171875,71.45591735839844,321.65142822265625,699.84423828125,793.8270874023438,792.934326171875,49.12776947021485,341.6716003417969,1016.0755615234376,4852.9443359375,789.1236572265625,3005.09912109375,724.7664184570312,498.9078369140625,,,,,,
127.65229034423828,432.5734252929688,997.75,356.9179077148437,206.88531494140625,829.874755859375,166.58889770507812,433.3669738769531,328.4472961425781,199.1802978515625,323.2322082519531,687.1552124023438,592.3382568359375,1826.47265625,80.56549072265625,8774.724609375,100.60195922851562,247.39414978027344,692.1575927734375,1135.399169921875,118.90541076660156,532.6295776367188,1023.4356079101562,202.6200714111328,1571.6080322265625,486.77386474609375,1431.405517578125,71.25732421875,323.6103210449219,684.0072021484375,818.2449340820312,796.337890625,50.39065170288086,343.0381774902344,1022.005859375,4926.8642578125,798.69091796875,3001.073486328125,715.5771484375,501.8128662109375,,,,,,
127.48704528808594,429.078125,995.1500244140624,358.8222961425781,202.1574859619141,829.1630859375,167.8636474609375,430.26953125,322.22314453125,193.5048370361328,323.6893920898437,685.766845703125,595.3143920898438,1814.6722412109373,81.7490005493164,8677.33203125,99.7637710571289,241.9231109619141,697.8833618164062,1146.8399658203125,119.20999145507812,527.562744140625,1008.3895263671876,196.67112731933597,1555.9100341796875,499.04107666015625,1410.561279296875,69.46993255615234,319.2251281738281,680.6715698242188,798.0419921875,769.5348510742188,50.959842681884766,337.32330322265625,1018.8687744140624,4924.39990234375,781.7113037109375,2989.8544921875,717.2559204101562,500.0415649414063,,,,,,
128.64334106445312,429.7284240722656,996.9500122070312,352.198974609375,199.87799072265625,828.2615356445312,167.38560485839844,427.9259643554688,318.66064453125,194.9087677001953,323.53692626953125,667.0778198242188,597.8599853515625,1802.2564697265625,83.82737731933594,8683.1484375,97.97307586669922,234.38304138183597,689.0708618164062,1136.2373046875,120.65091705322266,522.01806640625,993.3207397460938,196.2715606689453,1526.3914794921875,496.12249755859375,1390.40283203125,67.60310363769531,322.6753845214844,684.0362548828125,794.5537719726562,757.953369140625,50.781959533691406,335.45977783203125,1004.2152709960938,4877.75634765625,783.0472412109375,2989.14208984375,724.2804565429688,494.53851318359375,,,,,,
128.5515899658203,425.50140380859375,998.4000244140624,345.6315612792969,202.19973754882807,824.1342163085938,167.70428466796875,441.5590515136719,313.1325988769531,197.8909149169922,313.3588256835937,655.0718383789062,585.4068603515625,1821.74462890625,83.2789306640625,8737.7607421875,98.96369171142578,236.17611694335935,686.2328491210938,1148.8934326171875,118.34310913085938,525.2684936523438,972.8955688476562,200.0451812744141,1502.9403076171875,511.0234680175781,1394.2200927734375,65.41851043701172,314.03863525390625,671.0416870117188,810.8807983398438,758.0951538085938,50.83532333374024,342.23065185546875,1012.9815673828124,4806.38720703125,803.2159423828125,3007.840576171875,735.8113403320312,500.7737426757813,,,,,,
125.11936950683594,422.4124755859375,986.2000122070312,342.80303955078125,199.0337677001953,843.91796875,168.5009765625,461.77447509765625,308.5873107910156,194.0524444580078,309.1229858398437,651.4430541992188,580.7467651367188,1816.1708984375,82.67272186279297,8775.21875,97.76354217529295,238.8886566162109,681.2042846679688,1133.8486328125,117.76908111572266,532.4383544921875,972.7250366210938,199.91195678710935,1477.9964599609375,503.8103637695313,1399.02392578125,66.45121765136719,320.5162048339844,658.2213134765625,783.555908203125,761.8294677734375,50.81753540039063,343.2452087402344,1010.8328857421876,4829.2548828125,813.0847778320312,3026.7529296875,730.9515380859375,495.8611755371094,,,,,,
