RENUKA,ALOKINDS,SADBHAV,TATACHEM,NIITLTD,NAVA,SURYAROSNI,JINDALPOLY,HMT,PFC,DALMIASUG,SREINFRA,EVEREADY,GHCL,FACT,WSTCSTPAPR,PTC,ELECON,INDIANB,JINDALSAW,IRB,POLYPLEX,RECLTD,JKPAPER,KTKBANK,BOMDYEING,JKIL,HCC,NCC,GNFC,GAIL,COSMOFIRST,DAAWAT,HINDOILEXP,PCBL,CHAMBLFERT,CESC,NLCINDIA,TNPL,SAIL,start,end,sharpe_ratio,returns,risk,method
13.699999809265137,6.300000190734863,339.5007019042969,334.8761901855469,82.5292739868164,74.78581237792969,61.92103958129883,449.9107666015625,51.79999923706055,44.27935028076172,59.12217330932617,63.84035873413086,295.1788330078125,109.33883666992188,25.20193672180176,59.15333938598633,40.652793884277344,80.82266998291016,100.49951934814452,51.58715057373047,21.825252532958984,149.46900939941406,42.43880081176758,41.17145538330078,71.75225830078125,61.479305267333984,345.374267578125,23.14675521850586,67.79985809326172,67.79518127441406,52.10930252075195,146.590576171875,24.570825576782227,36.0,10.309450149536133,52.71934127807617,35.06447982788086,51.26873779296875,187.3724670410156,41.419281005859375,,,,,,
14.300000190734863,6.25,333.5946350097656,333.36114501953125,80.07129669189453,72.74876403808594,62.91315460205078,445.5422668457031,50.150001525878906,42.93457794189453,59.85604095458984,58.42854309082031,296.8014831542969,108.55696105957033,24.652984619140625,58.18490982055664,40.774879455566406,78.85839080810547,99.05569458007812,50.679935455322266,22.979345321655277,148.29962158203125,41.58314514160156,41.08586883544922,69.510009765625,61.76569747924805,339.6149597167969,22.83275032043457,66.70134735107422,68.94286346435547,50.70705032348633,149.68218994140625,24.108272552490234,35.95000076293945,10.095658302307127,52.13124847412109,35.41008377075195,50.891998291015625,185.7614288330078,41.16148376464844,,,,,,
14.050000190734863,6.650000095367432,325.3753662109375,330.3309326171875,79.98797607421875,73.52890014648438,75.4871597290039,441.90185546875,50.84999847412109,44.10442352294922,58.89283752441406,64.03192901611328,304.5706787109375,106.82861328125,24.70288848876953,63.06728744506836,42.88076019287109,79.5770263671875,98.44315338134766,52.12322235107422,22.547117233276367,148.83935546875,42.39229965209961,41.51385498046875,68.705078125,62.48168182373047,342.1951599121094,23.550479888916016,68.01953887939453,67.0573959350586,52.46164321899414,159.61212158203125,24.1915283203125,36.25,10.31340789794922,53.81154251098633,34.97977828979492,52.11642074584961,183.7300567626953,43.825382232666016,,,,,,
14.550000190734863,6.650000095367432,328.7221374511719,339.5033874511719,78.32156372070312,72.29367065429688,71.34615325927734,461.1050720214844,55.70000076293945,43.88575744628906,62.47044372558594,62.45147705078125,307.91436767578125,105.75867462158205,25.002317428588867,59.03227996826172,41.2937126159668,78.66675567626953,96.8680648803711,52.9067268371582,22.453542709350582,149.9787139892578,42.466705322265625,41.08586883544922,68.21640014648438,61.95662689208984,345.3282165527344,23.46076393127441,69.0741195678711,67.79518127441406,52.52505874633789,162.83473205566406,25.065752029418945,35.849998474121094,10.55887222290039,54.65169143676758,34.7222785949707,52.33618927001953,182.5743408203125,42.96606063842773,,,,,,
13.75,6.25,317.4021911621094,321.8955078125,75.322021484375,71.275146484375,68.60704803466797,439.8541259765625,51.25,41.19620132446289,59.81016540527344,58.42854309082031,295.67059326171875,97.19921875,23.954317092895508,57.29721450805664,40.25603103637695,73.44466400146484,94.41793060302734,50.55623245239258,21.263805389404297,144.94143676757812,39.862525939941406,40.10151290893555,64.93923950195312,58.80628967285156,342.4715270996094,22.204736709594727,63.8012809753418,67.18034362792969,52.22910690307617,152.95724487304688,24.089767456054688,33.400001525878906,10.000642776489258,52.63533020019531,33.21791458129883,50.29548263549805,175.25453186035156,40.00139617919922,,,,,,
14.75,6.300000190734863,310.26568603515625,328.4472961425781,76.11355590820312,73.48555755615234,72.9637451171875,447.4534912109375,51.84999847412109,41.578857421875,66.36910247802734,60.392120361328125,300.8827819824219,102.17852783203124,23.954317092895508,58.10421752929688,42.11775970458984,75.07357025146484,94.11165618896484,50.96860504150391,21.838621139526367,145.8109588623047,40.0113410949707,41.08586883544922,65.34170532226562,59.42681503295898,344.6370849609375,22.83275032043457,65.42707824707031,67.83616638183594,52.59553527832031,157.0968780517578,24.293292999267575,33.900001525878906,10.087739944458008,54.31563186645508,33.47880935668945,51.01758193969727,178.2314910888672,40.73181915283203,,,,,,
15.0,6.300000190734863,308.98602294921875,322.22314453125,76.48851013183594,73.00880432128906,72.38141632080078,450.1838073730469,51.20000076293945,41.23992919921875,70.58885192871094,65.56448364257812,300.046875,102.013916015625,23.70479202270508,57.53932189941406,41.59891891479492,73.49256896972656,92.09904479980467,50.927364349365234,21.2905387878418,144.28179931640625,39.60212326049805,41.00027847290039,65.02548217773438,59.47454452514648,345.0056457519531,22.51874351501465,64.89979553222656,68.49198913574219,52.045894622802734,160.63392639160156,24.01576042175293,33.45000076293945,9.866032600402832,54.1475944519043,33.22130584716797,50.42107009887695,177.74119567871094,39.915470123291016,,,,,,
14.75,6.150000095367432,302.9322814941406,318.66064453125,78.6131820678711,71.96861267089844,70.09523010253906,453.7332153320313,49.5,40.98847198486328,70.40538787841797,63.5051155090332,305.6524353027344,102.50772857666016,23.9044132232666,58.62877655029297,41.568397521972656,71.8636703491211,87.1550064086914,49.97891616821289,20.58204460144043,141.8531036376953,39.24869155883789,41.04307556152344,62.294525146484375,59.140419006347656,336.7122802734375,22.07016372680664,64.15279388427734,71.07426452636719,51.55967712402344,157.22789001464844,23.923248291015625,33.099998474121094,9.806645393371582,54.86173248291016,33.40765380859375,50.0443229675293,177.1107940673828,39.442848205566406,,,,,,
14.550000190734863,6.050000190734863,307.0173034667969,313.1325988769531,73.94721984863281,71.7735824584961,66.45027923583984,429.888427734375,47.150001525878906,40.15754699707031,67.83683013916016,61.68521499633789,297.8341369628906,100.65592193603516,23.954317092895508,57.13581085205078,41.38528060913086,70.47430419921875,86.36746215820312,48.65933990478516,20.20328712463379,139.75425720214844,39.090576171875,41.04307556152344,61.317138671875,57.32658386230469,322.2909240722656,20.99357032775879,62.702781677246094,68.49198913574219,51.14393615722656,145.43775939941406,23.27104949951172,31.950000762939453,9.410737991333008,52.63533020019531,32.591102600097656,49.32222366333008,169.6859130859375,38.79835510253906,,,,,,
13.949999809265137,5.949999809265137,293.4825744628906,308.5873107910156,71.65589904785156,70.95008850097656,65.50128936767578,424.245849609375,45.04999923706055,39.457820892333984,65.1307144165039,62.30781555175781,286.0328674316406,100.28556823730467,22.90631675720215,55.64286422729492,39.7677116394043,69.99520874023438,83.08601379394531,46.67997741699219,20.17655372619629,137.2655792236328,38.28142547607422,40.44390487670898,56.77511978149414,55.79915237426758,320.6783447265625,20.365556716918945,60.11030197143555,69.22976684570312,50.38995361328125,140.48590087890625,22.92875862121582,31.200000762939453,9.20882511138916,51.66915893554688,31.35779571533203,49.16525268554688,165.13291931152344,38.19683074951172,,,,,,
13.100000381469728,5.75,289.7420959472656,306.335205078125,68.48970794677734,65.94413757324219,62.072025299072266,395.16790771484375,42.900001525878906,37.32585525512695,61.87417221069336,57.9017219543457,255.6446533203125,96.4996337890625,21.9581241607666,52.65694427490234,36.685176849365234,65.3480224609375,82.12346649169922,43.62846374511719,19.28090476989746,132.91795349121094,36.32828903198242,39.58794784545898,54.44662857055664,53.98532485961914,321.36944580078125,18.750667572021484,56.199615478515625,67.50825500488281,47.33174896240234,131.91839599609375,21.87413787841797,30.450000762939453,8.812915802001953,50.11488723754883,30.714035034179688,48.12919616699219,157.0076446533203,36.43521881103516,,,,,,
12.550000190734863,5.5,276.2073059082031,294.0097351074219,63.03219985961914,67.33106231689453,57.47807693481445,376.5562744140625,40.09999847412109,35.20482635498047,53.38883209228516,54.93240737915039,255.5463104248047,84.1542739868164,20.0118350982666,49.91314315795898,36.47154235839844,61.8027458190918,78.8420181274414,42.26765060424805,19.004636764526367,126.65133666992188,34.44026184082031,36.84889221191406,57.091339111328125,51.83736038208008,308.5146484375,17.718931198120117,53.03591537475586,63.86027908325195,47.83910751342773,119.0016632080078,20.796388626098636,28.799999237060547,8.381376266479492,48.30856323242188,30.13804244995117,46.52803039550781,150.52838134765625,36.005558013916016,,,,,,
12.949999809265137,5.449999809265137,288.8069152832031,295.893310546875,63.11551284790039,67.63446044921875,60.972049713134766,382.7449951171875,41.29999923706055,34.745628356933594,59.81016540527344,60.48790740966797,255.00538635253903,87.28176879882812,20.361167907714844,50.72014236450195,36.624141693115234,64.2461166381836,79.41081237792969,42.8037223815918,19.882457733154297,130.51925659179688,34.27284240722656,38.261226654052734,56.94760894775391,52.17149353027344,314.7808532714844,17.943222045898438,54.88141250610352,63.81928253173828,48.33236312866211,137.6300811767578,21.101675033569336,31.200000762939453,8.761446952819824,48.85466384887695,30.968151092529297,46.9047737121582,158.2684326171875,36.52115631103516,,,,,,
