Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-07-05 00:00:00+05:30,450.1358572204461,499.1584722848236,450.1358572204461,487.0630798339844,78025942,0.0,0.0
2007-07-06 00:00:00+05:30,485.5244999341339,501.29550864997464,485.5244999341339,490.31134033203125,13724278,0.0,0.0
2007-07-09 00:00:00+05:30,490.7386776813189,496.6367947357046,488.51622752401926,491.2515869140625,4829804,0.0,0.0
2007-07-10 00:00:00+05:30,491.50810024860283,495.7820837290255,486.03738052460193,488.7300109863281,5321889,0.0,0.0
2007-07-11 00:00:00+05:30,487.2339817713843,508.09103624609077,484.6695923936402,504.97100830078125,8859610,0.0,0.0
2007-07-12 00:00:00+05:30,508.6037919446186,526.9819121577434,508.6037919446186,522.0668334960938,10548513,0.0,0.0
2007-07-13 00:00:00+05:30,526.5548580705376,534.2480296981915,510.4846877717478,513.775634765625,6964521,0.0,0.0
2007-07-16 00:00:00+05:30,517.7503593310114,525.2725596778735,514.7585709520487,522.1953125,3647160,0.0,0.0
2007-07-17 00:00:00+05:30,525.6143932156724,529.8883757522362,517.280127269373,523.6911010742188,4930170,0.0,0.0
2007-07-18 00:00:00+05:30,525.6998334007812,554.7629136213122,525.6998334007812,549.97607421875,11272734,0.0,0.0
2007-07-19 00:00:00+05:30,561.8577940360991,568.1833097371705,539.5903530687416,552.3268432617188,14333158,0.0,0.0
2007-07-20 00:00:00+05:30,552.1986803836609,562.4562410099828,549.6342902270804,552.8825073242188,5862319,0.0,0.0
2007-07-23 00:00:00+05:30,553.9082007319498,580.4068955200523,548.779421095543,574.7652587890625,5850767,0.0,0.0
2007-07-24 00:00:00+05:30,578.6974474687926,580.278800717628,558.3105641692725,561.5160522460938,6809825,0.0,0.0
2007-07-25 00:00:00+05:30,559.0370312823005,559.0370312823005,537.9662721546649,544.6337280273438,4897509,0.0,0.0
2007-07-26 00:00:00+05:30,514.2029185446606,555.5323682110517,514.2029185446606,541.3427124023438,6939654,0.0,0.0
2007-07-27 00:00:00+05:30,537.3250469520249,537.3250469520249,494.07236589338845,512.6214599609375,9518445,0.0,0.0
2007-07-30 00:00:00+05:30,517.0665998322371,527.4096201360206,504.33010677512505,515.955322265625,4793278,0.0,0.0
2007-07-31 00:00:00+05:30,519.2890850060592,527.2814146634262,509.11698164881096,523.306640625,4414624,0.0,0.0
2007-08-01 00:00:00+05:30,521.3832109661186,521.3832109661186,496.6368382799467,500.18426513671875,5785919,0.0,0.0
2007-08-02 00:00:00+05:30,495.61099308241603,512.8778925666887,495.61099308241603,501.7228088378906,3052788,0.0,0.0
2007-08-03 00:00:00+05:30,507.32175913296305,517.5793178685916,506.8943608523119,514.4592895507812,3310944,0.0,0.0
2007-08-06 00:00:00+05:30,478.68610597506455,504.2445457167198,478.68610597506455,496.3376770019531,3153730,0.0,0.0
2007-08-07 00:00:00+05:30,504.3300362737721,512.7497626204698,501.8938866286277,503.21881103515625,2475707,0.0,0.0
2007-08-08 00:00:00+05:30,506.38156317068547,518.776114763146,505.6122253062323,513.6045532226562,3651211,0.0,0.0
2007-08-09 00:00:00+05:30,521.2548279365905,525.6570502120242,506.12492140634635,509.03125,3705892,0.0,0.0
2007-08-10 00:00:00+05:30,491.5935601973507,506.7234721879153,418.8503820597136,497.4062194824219,8480468,0.0,0.0
2007-08-13 00:00:00+05:30,507.7492703315907,512.0232540885906,501.7656930717908,511.5958557128906,2394623,0.0,0.0
2007-08-14 00:00:00+05:30,511.1683350754868,518.9469627836662,508.47570508354124,516.33984375,3558981,0.0,0.0
2007-08-16 00:00:00+05:30,513.7326823438335,516.3398011624654,488.9863139162047,500.0559387207031,4610933,0.0,0.0
2007-08-17 00:00:00+05:30,495.7820544656812,509.37334200026464,483.3875031040392,496.46588134765625,4587307,0.0,0.0
2007-08-20 00:00:00+05:30,506.0396109056521,524.8451369866054,492.61929322244254,493.5596008300781,2652088,0.0,0.0
2007-08-21 00:00:00+05:30,512.8781288512491,512.8781288512491,467.57389413605546,477.27581787109375,3200514,0.0,0.0
