,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.255981,0.263842,0.244449,0.288957
Net Income From Continuing Operation Net Minority Interest,5972900000.0,7731600000.0,5880300000.0,5445700000.0
Reconciled Depreciation,418700000.0,377800000.0,397500000.0,410400000.0
Net Interest Income,7567900000.0,8816400000.0,8661300000.0,9732800000.0
Interest Expense,11785100000.0,10817300000.0,11108700000.0,13858600000.0
Interest Income,19353000000.0,19633700000.0,19770000000.0,23591400000.0
Normalized Income,5972900000.0,7731600000.0,5880300000.0,5445700000.0
Net Income From Continuing And Discontinued Operation,5972900000.0,7731600000.0,5880300000.0,5445700000.0
Rent Expense Supplemental,,102900000.0,97900000.0,103200000.0
Diluted Average Shares,955664000.0,955698393.0,933059877.0,844290326.0
Basic Average Shares,954137380.0,953341554.0,930293133.0,840864766.0
Diluted EPS,6.25,8.09,6.32,6.45
Basic EPS,6.26,8.11,6.34,6.48
Diluted NI Availto Com Stockholders,5972900000.0,7731600000.0,5901400000.0,5449800000.0
Net Income Common Stockholders,5972900000.0,7731600000.0,5901400000.0,5449800000.0
Net Income,5972900000.0,7731600000.0,5901400000.0,5449800000.0
Minority Interests,-1117000000.0,-2192300000.0,-2180300000.0,-2329700000.0
Net Income Including Noncontrolling Interests,7087600000.0,9923900000.0,8081700000.0,7779500000.0
Net Income Extraordinary,,,21100000.0,4100000.0
Net Income Continuous Operations,7087600000.0,9923900000.0,8060600000.0,7775400000.0
Tax Provision,2438500000.0,3556700000.0,2607900000.0,3159800000.0
Pretax Income,9526100000.0,13480400000.0,10668500000.0,10935200000.0
Gain On Sale Of Security,,6017400000.0,2870000000.0,180200000.0
Operating Expense,11163900000.0,13235200000.0,10541000000.0,9717500000.0
Other Operating Expenses,,,9500000.0,15600000.0
Depreciation And Amortization In Income Statement,418700000.0,377800000.0,397500000.0,410400000.0
Depreciation Income Statement,418700000.0,377800000.0,397500000.0,410400000.0
Selling General And Administration,4521800000.0,7130000000.0,5491600000.0,5093200000.0
Selling And Marketing Expense,,82800000.0,33900000.0,108300000.0
General And Administrative Expense,4521800000.0,7047200000.0,5457700000.0,4984900000.0
Rent And Landing Fees,,102900000.0,97900000.0,103200000.0
Total Revenue,20690000000.0,26715600000.0,21209500000.0,20652700000.0
Operating Revenue,20690000000.0,26715600000.0,21209500000.0,20652700000.0
