,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,181382802.496551,1569449273.232477,2905550654.999925,1672374816.529629
Tax Rate For Calcs,0.248913,0.252518,0.253944,0.221706
Normalized EBITDA,276454200000.0,218907200000.0,184841700000.0,209798400000.0
Total Unusual Items,728700000.0,6215200000.0,11441700000.0,7543200000.0
Total Unusual Items Excluding Goodwill,728700000.0,6215200000.0,11441700000.0,7543200000.0
Net Income From Continuing Operation Net Minority Interest,191916600000.0,152426600000.0,131611900000.0,153062300000.0
Reconciled Depreciation,18090100000.0,17324100000.0,16455900000.0,16449100000.0
Reconciled Cost Of Revenue,290057700000.0,267464400000.0,204051500000.0,176579600000.0
EBITDA,277182900000.0,225122400000.0,196283400000.0,217341600000.0
EBIT,259092800000.0,207798300000.0,179827500000.0,200892500000.0
Net Interest Income,-432000000.0,10226400000.0,12399400000.0,14407500000.0
Interest Expense,432000000.0,393600000.0,445800000.0,546800000.0
Interest Income,15340000000.0,10826300000.0,12979100000.0,15221300000.0
Normalized Income,191369282802.49655,147780849273.23248,123075750654.99992,147191474816.52963
Net Income From Continuing And Discontinued Operation,191916600000.0,152426600000.0,131611900000.0,153062300000.0
Total Expenses,463893000000.0,411859100000.0,335216700000.0,312775700000.0
Rent Expense Supplemental,2664600000.0,2137700000.0,2328500000.0,2675000000.0
Diluted Average Shares,12414327109.0,12322019118.0,12302481408.0,12292524341.0
Basic Average Shares,12381512709.0,12316571748.0,12301207984.0,12279339192.0
Diluted EPS,15.46,12.37,10.7,12.45
Basic EPS,15.5,12.37,10.7,12.47
Diluted NI Availto Com Stockholders,191916600000.0,152426600000.0,131611900000.0,153062300000.0
Net Income Common Stockholders,191916600000.0,152426600000.0,131611900000.0,153062300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,191916600000.0,152426600000.0,131611900000.0,153062300000.0
Minority Interests,-2850600000.0,-2604700000.0,-2216900000.0,-2865500000.0
Net Income Including Noncontrolling Interests,194767200000.0,155031300000.0,133828800000.0,155927800000.0
Net Income Continuous Operations,194767200000.0,155031300000.0,133828800000.0,155927800000.0
Tax Provision,64384000000.0,52373400000.0,45552900000.0,44417900000.0
Pretax Income,258660800000.0,207404700000.0,179381700000.0,200345700000.0
Other Non Operating Income Expenses,19804900000.0,1311600000.0,1309300000.0,870800000.0
Special Income Charges,728700000.0,511800000.0,-559700000.0,-1915200000.0
Other Special Charges,-666600000.0,-511800000.0,606400000.0,1916700000.0
Write Off,14200000.0,0.0,-46700000.0,-1500000.0
Net Non Operating Interest Income Expense,-432000000.0,10226400000.0,12399400000.0,14407500000.0
Total Other Finance Cost,345700000.0,206300000.0,133900000.0,267000000.0
Interest Expense Non Operating,432000000.0,393600000.0,445800000.0,546800000.0
Interest Income Non Operating,15340000000.0,10826300000.0,12979100000.0,15221300000.0
Operating Income,238559200000.0,188954500000.0,154311400000.0,177015100000.0
Operating Expense,173835300000.0,144394700000.0,131165200000.0,136196100000.0
Other Operating Expenses,105299300000.0,62242100000.0,52189600000.0,59508800000.0
Depreciation And Amortization In Income Statement,18090100000.0,17324100000.0,16455900000.0,16449100000.0
Depreciation Income Statement,18090100000.0,17324100000.0,16455900000.0,16449100000.0
Research And Development,2047200000.0,1992400000.0,1684700000.0,1930200000.0
Selling General And Administration,21450500000.0,17660200000.0,17072900000.0,16924800000.0
Selling And Marketing Expense,12710100000.0,10677000000.0,11366200000.0,10705100000.0
General And Administrative Expense,8740400000.0,6983200000.0,5706700000.0,6219700000.0
Rent And Landing Fees,2664600000.0,2137700000.0,2328500000.0,2675000000.0
Gross Profit,412394500000.0,333349200000.0,285476600000.0,313211200000.0
Cost Of Revenue,290057700000.0,267464400000.0,204051500000.0,176579600000.0
Total Revenue,702452200000.0,600813600000.0,489528100000.0,489790800000.0
Operating Revenue,702452200000.0,600813600000.0,489528100000.0,489790800000.0
