,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-89600000.0,0.0,-99339500.0,-97485000000.0
Tax Rate For Calcs,0.4,0.0,0.0005,0.3
Normalized EBITDA,171288000000.0,156526000000.0,173669000000.0,154027000000.0
Total Unusual Items,-224000000.0,-44000000.0,-198679000000.0,-324950000000.0
Total Unusual Items Excluding Goodwill,-224000000.0,-44000000.0,-198679000000.0,-324950000000.0
Net Income From Continuing Operation Net Minority Interest,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Reconciled Depreciation,230497000000.0,235843000000.0,236385000000.0,243564000000.0
Reconciled Cost Of Revenue,179873000000.0,169395000000.0,190169000000.0,218503000000.0
EBITDA,171064000000.0,156482000000.0,-25010000000.0,-170923000000.0
EBIT,-59433000000.0,-79498000000.0,-267140000000.0,-474230000000.0
Net Interest Income,-233543000000.0,-207557000000.0,-179433000000.0,-139748000000.0
Interest Expense,233543000000.0,202843000000.0,175394000000.0,143740000000.0
Interest Income,2471000000.0,877000000.0,1232000000.0,7375000000.0
Normalized Income,-292876600000.0,-282410000000.0,-243751339500.0,-511316000000.0
Net Income From Continuing And Discontinued Operation,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Total Expenses,483753000000.0,459521000000.0,488176000000.0,597984000000.0
Rent Expense Supplemental,4501000000.0,4650000000.0,4944000000.0,5762000000.0
Diluted Average Shares,34754390090.0,28744658990.0,28735389240.0,27115334543.0
Basic Average Shares,34754390090.0,28744658990.0,28735389240.0,27115334543.0
Diluted EPS,-8.43,-9.83,-15.4,-27.26
Basic EPS,-8.43,-9.83,-15.4,-27.26
Diluted NI Availto Com Stockholders,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Net Income Common Stockholders,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Net Income Including Noncontrolling Interests,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Net Income Continuous Operations,-293011000000.0,-282454000000.0,-442331000000.0,-738781000000.0
Tax Provision,35000000.0,113000000.0,-203000000.0,120811000000.0
Pretax Income,-292976000000.0,-282341000000.0,-442534000000.0,-617970000000.0
Other Non Operating Income Expenses,3113000000.0,237000000.0,106000000.0,135000000.0
Special Income Charges,-224000000.0,-563000000.0,-197814000000.0,-329172000000.0
Other Special Charges,224000000.0,-429000000.0,176803000000.0,312232000000.0
Write Off,1170000000.0,1756000000.0,3873000000.0,6928000000.0
Impairment Of Capital Assets,224000000.0,0.0,7246000000.0,
Restructuring And Mergern Acquisition,0.0,-764000000.0,9892000000.0,10012000000.0
Net Non Operating Interest Income Expense,-233543000000.0,-207557000000.0,-179433000000.0,-139748000000.0
Total Other Finance Cost,2078000000.0,5591000000.0,5271000000.0,3383000000.0
Interest Expense Non Operating,233543000000.0,202843000000.0,175394000000.0,143740000000.0
Interest Income Non Operating,2471000000.0,877000000.0,1232000000.0,7375000000.0
Operating Income,-62327000000.0,-74537000000.0,-68794000000.0,-148817000000.0
Operating Expense,303880000000.0,290126000000.0,298007000000.0,379481000000.0
Other Operating Expenses,8874000000.0,6585000000.0,9313000000.0,11610000000.0
Depreciation And Amortization In Income Statement,230497000000.0,235980000000.0,242130000000.0,303307000000.0
Amortization,87913000000.0,89274000000.0,91372000000.0,91484000000.0
Depreciation Income Statement,230497000000.0,146706000000.0,150758000000.0,211823000000.0
Selling General And Administration,46192000000.0,30299000000.0,26349000000.0,43089000000.0
Selling And Marketing Expense,46192000000.0,29502000000.0,25552000000.0,40983000000.0
General And Administrative Expense,787000000.0,797000000.0,797000000.0,2106000000.0
Rent And Landing Fees,,,,0.0
Gross Profit,241553000000.0,215589000000.0,229213000000.0,230664000000.0
Cost Of Revenue,179873000000.0,169395000000.0,190169000000.0,218503000000.0
Total Revenue,421426000000.0,384984000000.0,419382000000.0,449167000000.0
Operating Revenue,421426000000.0,384984000000.0,419382000000.0,449167000000.0
