,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-1371389581.804842,469492547.831296,-147857142.857143,-667657884.178146
Tax Rate For Calcs,0.226976,0.180297,0.064426,0.213856
Normalized EBITDA,40465000000.0,34282000000.0,33995000000.0,27825000000.0
Total Unusual Items,-6042000000.0,2604000000.0,-2295000000.0,-2670000000.0
Total Unusual Items Excluding Goodwill,-6042000000.0,2604000000.0,-2295000000.0,-3122000000.0
Net Income From Continuing Operation Net Minority Interest,19649000000.0,22416000000.0,21336000000.0,11766000000.0
Reconciled Depreciation,7227000000.0,7361000000.0,7248000000.0,6965000000.0
Reconciled Cost Of Revenue,63101000000.0,58189000000.0,54800000000.0,51494000000.0
EBITDA,34423000000.0,36886000000.0,31700000000.0,25155000000.0
EBIT,27196000000.0,29525000000.0,24452000000.0,18190000000.0
Net Interest Income,-1299000000.0,-511000000.0,-1185000000.0,-3001000000.0
Interest Expense,1299000000.0,1144000000.0,1604000000.0,3236000000.0
Interest Income,757000000.0,688000000.0,503000000.0,325000000.0
Normalized Income,24319610418.195156,20281492547.831295,23483142857.142857,14672342115.821854
Net Income From Continuing And Discontinued Operation,19649000000.0,44873000000.0,21336000000.0,11766000000.0
Total Expenses,140250000000.0,123509000000.0,121952000000.0,117553000000.0
Rent Expense Supplemental,229000000.0,206000000.0,219000000.0,285000000.0
Diluted Average Shares,1015649871.0,1023742600.0,1023742600.0,1023742600.0
Basic Average Shares,1015649871.0,1023742600.0,1023742600.0,1023742600.0
Diluted EPS,19.3,43.83,20.84,11.49
Basic EPS,19.3,43.83,20.84,11.49
Diluted NI Availto Com Stockholders,19649000000.0,44873000000.0,21336000000.0,11766000000.0
Net Income Common Stockholders,19649000000.0,44873000000.0,21336000000.0,11766000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,19649000000.0,44873000000.0,21336000000.0,11766000000.0
Minority Interests,-1316000000.0,-1310000000.0,-514000000.0,-278000000.0
Net Income Including Noncontrolling Interests,20965000000.0,46183000000.0,21850000000.0,12044000000.0
Net Income Discontinuous Operations,-46000000.0,22457000000.0,,
Net Income Continuous Operations,20965000000.0,23726000000.0,21850000000.0,12044000000.0
Tax Provision,5878000000.0,5117000000.0,1472000000.0,3198000000.0
Pretax Income,25897000000.0,28381000000.0,22848000000.0,14954000000.0
Other Non Operating Income Expenses,1866000000.0,31000000.0,51000000.0,84000000.0
Special Income Charges,-6042000000.0,1084000000.0,-2108000000.0,-3847000000.0
Other Special Charges,6042000000.0,-1110000000.0,1355000000.0,147000000.0
Write Off,21000000.0,26000000.0,22000000.0,64000000.0
Impairment Of Capital Assets,,0.0,731000000.0,2742000000.0
Restructuring And Mergern Acquisition,,,0.0,442000000.0
Net Non Operating Interest Income Expense,-1299000000.0,-511000000.0,-1185000000.0,-3001000000.0
Total Other Finance Cost,43000000.0,55000000.0,84000000.0,90000000.0
Interest Expense Non Operating,1299000000.0,1144000000.0,1604000000.0,3236000000.0
Interest Income Non Operating,757000000.0,688000000.0,503000000.0,325000000.0
Operating Income,28528000000.0,24767000000.0,26263000000.0,20568000000.0
Operating Expense,77149000000.0,65320000000.0,67152000000.0,66059000000.0
Other Operating Expenses,45862000000.0,17271000000.0,17768000000.0,18851000000.0
Depreciation And Amortization In Income Statement,7227000000.0,7130000000.0,7248000000.0,6965000000.0
Amortization,1071000000.0,1452000000.0,1584000000.0,1544000000.0
Depreciation Income Statement,7227000000.0,5678000000.0,5664000000.0,5421000000.0
Research And Development,1358000000.0,1146000000.0,1184000000.0,897000000.0
Selling General And Administration,21401000000.0,18014000000.0,18603000000.0,18781000000.0
Selling And Marketing Expense,15572000000.0,13733000000.0,13882000000.0,13342000000.0
General And Administrative Expense,5829000000.0,4281000000.0,4721000000.0,5439000000.0
Rent And Landing Fees,229000000.0,206000000.0,219000000.0,285000000.0
Gross Profit,105677000000.0,90087000000.0,93415000000.0,86627000000.0
Cost Of Revenue,63101000000.0,58189000000.0,54800000000.0,51494000000.0
Total Revenue,168778000000.0,148276000000.0,148215000000.0,138121000000.0
Operating Revenue,168778000000.0,148276000000.0,148215000000.0,138121000000.0
