Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
53,HAL,Hindustan Aeronautics Limited,"9,132,457.01",LARGECAP
54,HINDALCO,Hindalco Industries Limited,"9,109,003.25",LARGECAP
55,VBL,Varun Beverages Limited,"9,009,369.90",LARGECAP
56,DLF,DLF Limited,"8,829,448.73",LARGECAP
57,BANKBARODA,Bank of Baroda,"8,731,845.04",LARGECAP
58,INDUSINDBK,IndusInd Bank Limited,"8,285,787.88",LARGECAP
59,EICHERMOT,Eicher Motors Limited,"8,064,561.28",LARGECAP
60,DRREDDY,Dr. Reddy's Laboratories Limited,"7,698,120.14",LARGECAP
61,DIVISLAB,Divi's Laboratories Limited,"7,495,107.15",LARGECAP
62,BPCL,Bharat Petroleum Corporation Limited,"7,468,737.20",LARGECAP
63,HAVELLS,Havells India Limited,"7,446,068.24",LARGECAP
64,ADANIPOWER,Adani Power Limited,"7,389,895.01",LARGECAP
65,INDIGO,InterGlobe Aviation Limited,"7,366,455.65",LARGECAP
66,CIPLA,Cipla Limited,"7,268,331.09",LARGECAP
67,AMBUJACEM,Ambuja Cements Limited,"7,258,526.13",LARGECAP
68,SRF,SRF Limited,"7,149,322.14",LARGECAP
69,ABB,ABB India Limited,"7,131,034.68",LARGECAP
70,BEL,Bharat Electronics Limited,"7,130,689.25",LARGECAP
71,SBICARD,SBI Cards and Payment Services Limited,"7,002,842.63",LARGECAP
72,GAIL,GAIL (India) Limited,"6,913,717.28",LARGECAP
73,BAJAJHLDNG,Bajaj Holdings & Investment Limited,"6,588,687.09",LARGECAP
74,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"6,585,299.08",LARGECAP
75,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,"6,267,855.57",LARGECAP
76,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,"6,258,110.63",LARGECAP
77,MARICO,Marico Limited,"6,204,090.84",LARGECAP
78,APOLLOHOSP,Apollo Hospitals Enterprise Limited,"6,198,412.78",LARGECAP
79,TATAPOWER,Tata Power Company Limited,"6,079,133.49",LARGECAP
80,BOSCHLTD,Bosch Limited,"5,712,888.57",LARGECAP
81,BERGEPAINT,Berger Paints (I) Limited,"5,650,764.60",LARGECAP
82,JINDALSTEL,Jindal Steel & Power Limited,"5,571,721.19",LARGECAP
83,MCDOWELL-N,United Spirits Limited,"5,500,954.50",LARGECAP
84,UPL,UPL Limited,"5,386,735.74",LARGECAP
85,AWL,Adani Wilmar Limited,"5,274,745.62",LARGECAP
86,ICICIGI,ICICI Lombard General Insurance Company Limited,"5,252,550.89",LARGECAP
87,TORNTPHARM,Torrent Pharmaceuticals Limited,"5,202,414.08",LARGECAP
88,CANBK,Canara Bank,"5,160,293.50",LARGECAP
89,PNB,Punjab National Bank,"5,131,133.25",LARGECAP
90,TVSMOTOR,TVS Motor Company Limited,"5,117,638.39",LARGECAP
91,ZYDUSLIFE,Zydus Lifesciences Limited,"4,975,489.45",LARGECAP
92,TIINDIA,Tube Investments of India Limited,"4,917,996.11",LARGECAP
93,TRENT,Trent Limited,"4,887,774.85",LARGECAP
94,IDBI,IDBI Bank Limited,"4,838,580.98",LARGECAP
95,NAUKRI,Info Edge (India) Limited,"4,810,235.30",LARGECAP
96,SHRIRAMFIN,Shriram Finance Limited,"4,715,537.11",LARGECAP
97,HEROMOTOCO,Hero MotoCorp Limited,"4,690,937.62",LARGECAP
98,INDHOTEL,The Indian Hotels Company Limited,"4,607,068.51",LARGECAP
