Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
392,KNRCON,KNR Constructions Limited,713492,MIDCAP
393,SHOPERSTOP,Shoppers Stop Limited,711340,MIDCAP
394,SYMPHONY,Symphony Limited,709469,MIDCAP
395,CENTURYTEX,Century Textiles & Industries Limited,708151,MIDCAP
396,CANFINHOME,Can Fin Homes Limited,704652,MIDCAP
397,GRANULES,Granules India Limited,703618,MIDCAP
398,TANLA,Tanla Platforms Limited,703250,MIDCAP
399,JYOTHYLAB,Jyothy Labs Limited,699532,MIDCAP
400,SPLPETRO,Supreme Petrochem Limited,696317,MIDCAP
401,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,692667,MIDCAP
402,CRAFTSMAN,Craftsman Automation Limited,687790,MIDCAP
403,BIRLACORPN,Birla Corporation Limited,685502,MIDCAP
404,BLS,BLS International Services Limited,680729,MIDCAP
405,SHYAMMETL,Shyam Metalics and Energy Limited,670480,MIDCAP
406,NCC,NCC Limited,666145,MIDCAP
407,GMMPFAUDLR,GMM Pfaudler Limited,659073,MIDCAP
408,LATENTVIEW,Latent View Analytics Limited,657939,MIDCAP
409,USHAMART,Usha Martin Limited,653671,MIDCAP
410,HOMEFIRST,Home First Finance Company India Limited,653569,MIDCAP
411,JKPAPER,JK Paper Limited,646609,MIDCAP
412,TMB,Tamilnad Mercantile Bank Limited,645441,MIDCAP
413,JINDWORLD,Jindal Worldwide Limited,643169,MIDCAP
414,METROPOLIS,Metropolis Healthcare Limited,639263,MIDCAP
415,SAREGAMA,Saregama India Limited,638489,MIDCAP
416,NBCC,NBCC (India) Limited,638100,MIDCAP
417,ECLERX,eClerx Services Limited,632623,MIDCAP
418,BALAMINES,Balaji Amines Limited,629649,MIDCAP
419,WELSPUNIND,Welspun India Limited,628899,MIDCAP
420,PRAJIND,Praj Industries Limited,626462,MIDCAP
421,COCHINSHIP,Cochin Shipyard Limited,625803,MIDCAP
422,ZENSARTECH,Zensar Technologies Limited,621067,MIDCAP
423,AMBER,Amber Enterprises India Limited,614776,MIDCAP
424,LEMONTREE,Lemon Tree Hotels Limited,612010,MIDCAP
425,PRINCEPIPE,Prince Pipes And Fittings Limited,599794,MIDCAP
426,TRIVENI,Triveni Engineering & Industries Limited,593542,MIDCAP
427,GARFIBRES,Garware Technical Fibres Limited,593035,MIDCAP
428,LXCHEM,Laxmi Organic Industries Limited,590658,MIDCAP
429,STLTECH,Sterlite Technologies Limited,587870,MIDCAP
430,CEATLTD,CEAT Limited,586749,MIDCAP
431,BSE,BSE Limited,583777,MIDCAP
432,SPARC,Sun Pharma Advanced Research Company Limited,581990,MIDCAP
433,ALOKINDS,Alok Industries Limited,575968,MIDCAP
434,ORIENTELEC,Orient Electric Limited,575159,MIDCAP
435,INDIACEM,The India Cements Limited,573465,MIDCAP
436,JUBLINGREA,Jubilant Ingrevia Limited,573332,MIDCAP
437,KIRLOSENG,Kirloskar Oil Engines Limited,573211,MIDCAP
438,TCIEXP,TCI Express Limited,571974,MIDCAP
439,JMFINANCIL,JM Financial Limited,569053,MIDCAP
440,NETWORK18,Network18 Media & Investments Limited,567970,MIDCAP
441,BBTC,Bombay Burmah Trading Corporation Limited,566094,MIDCAP
442,SWANENERGY,Swan Energy Limited,564255,MIDCAP
443,GPPL,Gujarat Pipavav Port Limited,562966,MIDCAP
444,KAYNES,Kaynes Technology India Limited,559796,MIDCAP
445,VRLLOG,VRL Logistics Limited,558861,MIDCAP
446,INTELLECT,Intellect Design Arena Limited,557277,MIDCAP
447,SWSOLAR,Sterling and Wilson Renewable Energy Limited,553146,MIDCAP
448,CHEMPLASTS,Chemplast Sanmar Limited,549984,MIDCAP
449,QUESS,Quess Corp Limited,547804,MIDCAP
450,ROLEXRINGS,Rolex Rings Limited,545265,MIDCAP
451,MAHLIFE,Mahindra Lifespace Developers Limited,544509,MIDCAP
452,ESABINDIA,Esab India Limited,543812,MIDCAP
453,MHRIL,Mahindra Holidays & Resorts India Limited,543037,MIDCAP
454,GOCOLORS,Go Fashion (India) Limited,542601,MIDCAP
455,HGS,Hinduja Global Solutions Limited,540801,MIDCAP
456,BORORENEW,BOROSIL RENEWABLES LIMITED,536152,MIDCAP
457,GAEL,Gujarat Ambuja Exports Limited,532861,MIDCAP
458,MAPMYINDIA,C.E. Info Systems Limited,532476,MIDCAP
459,PRSMJOHNSN,Prism Johnson Limited,530286,MIDCAP
460,RUSTOMJEE,Keystone Realtors Limited,527423,MIDCAP
461,IRCON,Ircon International Limited,526689,MIDCAP
462,RCF,Rashtriya Chemicals and Fertilizers Limited,526035,MIDCAP
463,WELCORP,Welspun Corp Limited,524366,MIDCAP
464,BEML,BEML Limited,523638,MIDCAP
465,GRSE,Garden Reach Shipbuilders & Engineers Limited,521670,MIDCAP
466,EPL,EPL Limited,516229,MIDCAP
467,MINDACORP,Minda Corporation Limited,514379,MIDCAP
468,GRAPHITE,Graphite India Limited,512959,MIDCAP
469,HGINFRA,H.G. Infra Engineering Limited,510094,MIDCAP
470,OLECTRA,Olectra Greentech Limited,508285,MIDCAP
471,RELINFRA,Reliance Infrastructure Limited,507457,MIDCAP
472,JUSTDIAL,Just Dial Limited,501835,MIDCAP
473,RAIN,Rain Industries Limited,501323,MIDCAP
474,IONEXCHANG,ION Exchange (India) Limited,500712,MIDCAP
475,EDELWEISS,Edelweiss Financial Services Limited,496071,SMALLCAP
476,UJJIVANSFB,Ujjivan Small Finance Bank Limited,493535,SMALLCAP
477,TV18BRDCST,TV18 Broadcast Limited,492879,SMALLCAP
478,GPIL,Godawari Power And Ispat limited,491757,SMALLCAP
479,MTARTECH,Mtar Technologies Limited,486478,SMALLCAP
480,TCI,Transport Corporation of India Limited,486206,SMALLCAP
481,RTNINDIA,RattanIndia Enterprises Limited,485868,SMALLCAP
482,VSTIND,VST Industries Limited,485733,SMALLCAP
483,SAFARI,Safari Industries (India) Limited,485572,SMALLCAP
484,ACE,Action Construction Equipment Limited,484550,SMALLCAP
485,MAHSCOOTER,Maharashtra Scooters Limited,483811,SMALLCAP
486,DELTACORP,Delta Corp Limited,483347,SMALLCAP
487,GLS,Glenmark Life Sciences Limited,481409,SMALLCAP
488,GHCL,GHCL Limited,481322,SMALLCAP
489,INDIGOPNTS,Indigo Paints Limited,479856,SMALLCAP
490,MAHSEAMLES,Maharashtra Seamless Limited,479114,SMALLCAP
491,SUPRAJIT,Suprajit Engineering Limited,477178,SMALLCAP
492,KFINTECH,Kfin Technologies Limited,474263,SMALLCAP
493,GSFC,Gujarat State Fertilizers & Chemicals Limited,474188,SMALLCAP
494,J&KBANK,The Jammu & Kashmir Bank Limited,471606,SMALLCAP
495,RELIGARE,Religare Enterprises Limited,469161,SMALLCAP
496,MASTEK,Mastek Limited,469144,SMALLCAP
497,SIS,SIS LIMITED,467281,SMALLCAP
498,JINDALSAW,Jindal Saw Limited,466521,SMALLCAP
499,TEGA,Tega Industries Limited,465441,SMALLCAP
500,SYRMA,Syrma SGS Technology Limited,464130,SMALLCAP
501,AVANTIFEED,Avanti Feeds Limited,462486,SMALLCAP
502,STARCEMENT,Star Cement Limited,461302,SMALLCAP
503,IBULHSGFIN,Indiabulls Housing Finance Limited,459099,SMALLCAP
504,RKFORGE,Ramkrishna Forgings Limited,457444,SMALLCAP
505,CAPLIPOINT,Caplin Point Laboratories Limited,452342,SMALLCAP
506,VAIBHAVGBL,Vaibhav Global Limited,450209,SMALLCAP
507,RBA,Restaurant Brands Asia Limited,445580,SMALLCAP
508,JUBLPHARMA,Jubilant Pharmova Limited,444155,SMALLCAP
509,SHARDACROP,Sharda Cropchem Limited,441810,SMALLCAP
510,NIITLTD,NIIT Limited,439151,SMALLCAP
511,PCBL,PCBL LIMITED,438234,SMALLCAP
512,MASFIN,MAS Financial Services Limited,438116,SMALLCAP
513,SCI,Shipping Corporation Of India Limited,435988,SMALLCAP
514,PDSL,PDS Limited,434876,SMALLCAP
515,GUJALKALI,Gujarat Alkalies and Chemicals Limited,429765,SMALLCAP
516,ELECON,Elecon Engineering Company Limited,428772,SMALLCAP
517,CMSINFO,CMS Info Systems Limited,427611,SMALLCAP
518,VMART,V-Mart Retail Limited,427540,SMALLCAP
519,ICRA,ICRA Limited,426811,SMALLCAP
520,JSWHL,JSW Holdings Limited,425926,SMALLCAP
521,FDC,FDC Limited,425228,SMALLCAP
522,CSBBANK,CSB Bank Limited,425214,SMALLCAP
523,KTKBANK,The Karnataka Bank Limited,423778,SMALLCAP
524,MMTC,MMTC Limited,418500,SMALLCAP
525,ENGINERSIN,Engineers India Limited,418441,SMALLCAP
526,SUNTECK,Sunteck Realty Limited,417025,SMALLCAP
527,PRIVISCL,Privi Speciality Chemicals Limited,410783,SMALLCAP
528,PARADEEP,Paradeep Phosphates Limited,410507,SMALLCAP
529,SOBHA,Sobha Limited,408406,SMALLCAP
530,FUSION,Fusion Micro Finance Limited,403278,SMALLCAP
531,GMDCLTD,Gujarat Mineral Development Corporation Limited,402588,SMALLCAP
532,VIJAYA,Vijaya Diagnostic Centre Limited,399405,SMALLCAP
533,JAMNAAUTO,Jamna Auto Industries Limited,397228,SMALLCAP
534,ANANTRAJ,Anant Raj Limited,395884,SMALLCAP
535,SANSERA,Sansera Engineering Limited,395622,SMALLCAP
536,MFL,Meghmani Finechem Limited,392088,SMALLCAP
537,AHLUCONT,Ahluwalia Contracts (India) Limited,386284,SMALLCAP
538,BSHSL,Bombay Super Hybrid Seeds Limited,385854,SMALLCAP
539,TATACOFFEE,Tata Coffee Limited,384467,SMALLCAP
540,TEAMLEASE,Teamlease Services Limited,382874,SMALLCAP
541,JKTYRE,JK Tyre & Industries Limited,381658,SMALLCAP
542,VARROC,Varroc Engineering Limited,380973,SMALLCAP
543,GREENLAM,Greenlam Industries Limited,380914,SMALLCAP
544,JPPOWER,Jaiprakash Power Ventures Limited,380367,SMALLCAP
545,INFIBEAM,Infibeam Avenues Limited,378906,SMALLCAP
546,SPANDANA,Spandana Sphoorty Financial Limited,378234,SMALLCAP
547,HSCL,Himadri Speciality Chemical Limited,377753,SMALLCAP
548,BHARATRAS,Bharat Rasayan Limited,377172,SMALLCAP
549,RAJRATAN,Rajratan Global Wire Limited,377152,SMALLCAP
550,LAOPALA,La Opala RG Limited,376845,SMALLCAP
551,SARDAEN,Sarda Energy & Minerals Limited,376185,SMALLCAP
552,RALLIS,Rallis India Limited,375130,SMALLCAP
553,BOROLTD,Borosil Limited,374276,SMALLCAP
554,RATEGAIN,Rategain Travel Technologies Limited,372286,SMALLCAP
555,SCHNEIDER,Schneider Electric Infrastructure Limited,372285,SMALLCAP
556,RPOWER,Reliance Power Limited,371653,SMALLCAP
557,ARVINDFASN,Arvind Fashions Limited,371444,SMALLCAP
558,TATVA,Tatva Chintan Pharma Chem Limited,369946,SMALLCAP
559,POWERMECH,Power Mech Projects Limited,368172,SMALLCAP
560,HCG,Healthcare Global Enterprises Limited,365110,SMALLCAP
561,NESCO,Nesco Limited,364771,SMALLCAP
562,HEIDELBERG,HeidelbergCement India Limited,364734,SMALLCAP
563,TECHNOE,Techno Electric & Engineering Company Limited,363322,SMALLCAP
564,POLYPLEX,Polyplex Corporation Limited,358675,SMALLCAP
565,SURYAROSNI,Surya Roshni Limited,357957,SMALLCAP
566,AUTOAXLES,Automotive Axles Limited,357285,SMALLCAP
567,JWL,Jupiter Wagons Limited,357227,SMALLCAP
568,NFL,National Fertilizers Limited,355424,SMALLCAP
569,HEG,HEG Limited,355349,SMALLCAP
570,RAJRILTD,Raj Rayon Industries Limited,355337,SMALLCAP
571,CHENNPETRO,Chennai Petroleum Corporation Limited,353665,SMALLCAP
572,WSTCSTPAPR,West Coast Paper Mills Limited,350456,SMALLCAP
573,LUXIND,Lux Industries Limited,349177,SMALLCAP
574,HIKAL,Hikal Limited,347277,SMALLCAP
575,MIDHANI,Mishra Dhatu Nigam Limited,345923,SMALLCAP
576,HLEGLAS,HLE Glascoat Limited,344604,SMALLCAP
577,SHAREINDIA,Share India Securities Limited,344502,SMALLCAP
578,NOCIL,NOCIL Limited,344367,SMALLCAP
579,NAZARA,Nazara Technologies Limited,341756,SMALLCAP
580,BANARISUG,Bannari Amman Sugars Limited,339964,SMALLCAP
581,ANANDRATHI,Anand Rathi Wealth Limited,336716,SMALLCAP
582,PRUDENT,Prudent Corporate Advisory Services Limited,334814,SMALLCAP
583,GRAVITA,Gravita India Limited,334592,SMALLCAP
584,GREENPANEL,Greenpanel Industries Limited,333608,SMALLCAP
585,VESUVIUS,Vesuvius India Limited,332348,SMALLCAP
586,DCBBANK,DCB Bank Limited,331732,SMALLCAP
587,ROSSARI,Rossari Biotech Limited,328782,SMALLCAP
588,RESPONIND,Responsive Industries Limited,328703,SMALLCAP
589,TINPLATE,The Tinplate Company of India Limited,326301,SMALLCAP
590,KIRLOSBROS,Kirloskar Brothers Limited,325775,SMALLCAP
591,RAILTEL,Railtel Corporation Of India Limited,324469,SMALLCAP
592,AMIORG,Ami Organics Limited,324181,SMALLCAP
593,ISGEC,Isgec Heavy Engineering Limited,320809,SMALLCAP
594,NEOGEN,Neogen Chemicals Limited,320769,SMALLCAP
595,MARKSANS,Marksans Pharma Limited,319115,SMALLCAP
596,NAVA,NAVA LIMITED,316392,SMALLCAP
597,NEWGEN,Newgen Software Technologies Limited,315290,SMALLCAP
598,BECTORFOOD,Mrs. Bectors Food Specialities Limited,314056,SMALLCAP
599,TWL,Titagarh Wagons Limited,313755,SMALLCAP
600,AARTIDRUGS,Aarti Drugs Limited,312757,SMALLCAP
601,UJJIVAN,Ujjivan Financial Services Limited,311800,SMALLCAP
602,GATEWAY,Gateway Distriparks Limited,311778,SMALLCAP
603,SULA,Sula Vineyards Limited,308715,SMALLCAP
604,DAAWAT,LT Foods Limited,308650,SMALLCAP
605,SOUTHBANK,The South Indian Bank Limited,306587,SMALLCAP
606,GET&D,GE T&D India Limited,305335,SMALLCAP
607,HARSHA,Harsha Engineers International Limited,305043,SMALLCAP
608,PGEL,PG Electroplast Limited,303011,SMALLCAP
609,RSYSTEMS,R Systems International Limited,301201,SMALLCAP
610,INDOCO,Indoco Remedies Limited,299719,SMALLCAP
611,MOLDTKPAC,Mold-Tek Packaging Limited,299063,SMALLCAP
612,IFBIND,IFB Industries Limited,298826,SMALLCAP
613,SBCL,Shivalik Bimetal Controls Limited,295769,SMALLCAP
614,BCG,Brightcom Group Limited,294617,SMALLCAP
615,GREAVESCOT,Greaves Cotton Limited,291993,SMALLCAP
616,MOIL,MOIL Limited,289356,SMALLCAP
617,TATASTLLP,Tata Steel Long Products Limited,284243,SMALLCAP
618,TARSONS,Tarsons Products Limited,283137,SMALLCAP
619,SHANTIGEAR,Shanthi Gears Limited,281586,SMALLCAP
620,CHOICEIN,Choice International Limited,280922,SMALLCAP
621,TIIL,Technocraft Industries (India) Limited,278950,SMALLCAP
622,DHANUKA,Dhanuka Agritech Limited,278666,SMALLCAP
623,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,276409,SMALLCAP
624,DODLA,Dodla Dairy Limited,275898,SMALLCAP
625,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,273534,SMALLCAP
626,VOLTAMP,Voltamp Transformers Limited,272398,SMALLCAP
627,ASTEC,Astec LifeSciences Limited,271538,SMALLCAP
628,SUDARSCHEM,Sudarshan Chemical Industries Limited,270886,SMALLCAP
629,KSCL,Kaveri Seed Company Limited,267278,SMALLCAP
630,SUNFLAG,Sunflag Iron And Steel Company Limited,265734,SMALLCAP
631,IBREALEST,Indiabulls Real Estate Limited,264879,SMALLCAP
632,THOMASCOOK,Thomas Cook  (India)  Limited,264119,SMALLCAP
633,HBLPOWER,HBL Power Systems Limited,264028,SMALLCAP
634,INOXWIND,Inox Wind Limited,263971,SMALLCAP
635,NILKAMAL,Nilkamal Limited,262047,SMALLCAP
636,ZENTEC,Zen Technologies Limited,260912,SMALLCAP
637,TCNSBRANDS,TCNS Clothing Co. Limited,259795,SMALLCAP
638,ADVENZYMES,Advanced Enzyme Technologies Limited,259432,SMALLCAP
639,STAR,Strides Pharma Science Limited,258582,SMALLCAP
640,FCL,Fineotex Chemical Limited,258155,SMALLCAP
641,KKCL,Kewal Kiran Clothing Limited,257532,SMALLCAP
642,HINDWAREAP,Hindware Home Innovation Limited,256905,SMALLCAP
643,MAHLOG,Mahindra Logistics Limited,255015,SMALLCAP
644,EMIL,Electronics Mart India Limited,254896,SMALLCAP
645,JTEKTINDIA,Jtekt India Limited,253648,SMALLCAP
646,MANINFRA,Man Infraconstruction Limited,253193,SMALLCAP
647,ITDC,India Tourism Development Corporation Limited,253191,SMALLCAP
648,APCOTEXIND,Apcotex Industries Limited,252770,SMALLCAP
649,PRICOLLTD,Pricol Limited,252599,SMALLCAP
650,PTC,PTC India Limited,251755,SMALLCAP
651,AARTIPHARM,Aarti Pharmalabs Limited,249992,SMALLCAP
652,MBAPL,Madhya Bharat Agro Products Limited,249014,SMALLCAP
653,SAGCEM,Sagar Cements Limited,248018,SMALLCAP
654,TDPOWERSYS,TD Power Systems Limited,247796,SMALLCAP
655,JAICORPLTD,Jai Corp Limited,247242,SMALLCAP
656,DBL,Dilip Buildcon Limited,246957,SMALLCAP
657,BARBEQUE,Barbeque Nation Hospitality Limited,246792,SMALLCAP
658,UNIPARTS,Uniparts India Limited,243429,SMALLCAP
659,UFLEX,UFLEX Limited,242306,SMALLCAP
660,WONDERLA,Wonderla Holidays Limited,242215,SMALLCAP
661,PSPPROJECT,PSP Projects Limited,241524,SMALLCAP
662,KIRLOSIND,Kirloskar Industries Limited,240367,SMALLCAP
663,IPL,India Pesticides Limited,239367,SMALLCAP
664,DISHTV,Dish TV India Limited,239363,SMALLCAP
665,TATAMETALI,Tata Metaliks Limited,236800,SMALLCAP
666,PAISALO,Paisalo Digital Limited,236635,SMALLCAP
667,PFOCUS,Prime Focus Limited,236484,SMALLCAP
668,HEMIPROP,Hemisphere Properties India Limited,234698,SMALLCAP
669,LGBBROSLTD,LG Balakrishnan & Bros Limited,233026,SMALLCAP
670,MAITHANALL,Maithan Alloys Limited,232892,SMALLCAP
671,SSWL,Steel Strips Wheels Limited,231561,SMALLCAP
672,NEULANDLAB,Neuland Laboratories Limited,231458,SMALLCAP
673,HATHWAY,Hathway Cable & Datacom Limited,229229,SMALLCAP
674,THYROCARE,Thyrocare Technologies Limited,227520,SMALLCAP
675,ORIENTCEM,Orient Cement Limited,225253,SMALLCAP
676,DREAMFOLKS,Dreamfolks Services Limited,224910,SMALLCAP
677,ETHOSLTD,Ethos Limited,224129,SMALLCAP
678,GLOBUSSPR,Globus Spirits Limited,223682,SMALLCAP
679,GANESHHOUC,Ganesh Housing Corporation Limited,223602,SMALLCAP
680,ARVIND,Arvind Limited,222273,SMALLCAP
681,ICIL,Indo Count Industries Limited,221920,SMALLCAP
682,SHRIPISTON,Shriram Pistons & Rings Limited,221802,SMALLCAP
683,WOCKPHARMA,Wockhardt Limited,221752,SMALLCAP
684,DBREALTY,D B Realty Limited,221464,SMALLCAP
685,ISMTLTD,ISMT Limited,220718,SMALLCAP
686,JINDALPOLY,Jindal Poly Films Limited,219304,SMALLCAP
687,WABAG,VA Tech Wabag Limited,218848,SMALLCAP
688,BAJAJCON,Bajaj Consumer Care Limited,218593,SMALLCAP
689,GENUSPOWER,Genus Power Infrastructures Limited,218183,SMALLCAP
690,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,216584,SMALLCAP
691,NAVNETEDUL,Navneet Education Limited,215694,SMALLCAP
692,GOKEX,Gokaldas Exports Limited,215658,SMALLCAP
693,APOLLOPIPE,Apollo Pipes Limited,215479,SMALLCAP
694,LANDMARK,Landmark Cars Limited,215360,SMALLCAP
695,IFCI,IFCI Limited,215201,SMALLCAP
696,ATFL,Agro Tech Foods Limited,213633,SMALLCAP
697,EVEREADY,Eveready Industries India Limited,212356,SMALLCAP
698,AGI,AGI Greenpac Limited,209490,SMALLCAP
699,TI,Tilaknagar Industries Limited,208878,SMALLCAP
700,ASHOKA,Ashoka Buildcon Limited,207735,SMALLCAP
701,SOMANYCERA,Somany Ceramics Limited,207635,SMALLCAP
702,HCC,Hindustan Construction Company Limited,207285,SMALLCAP
703,JISLJALEQS,Jain Irrigation Systems Limited,207091,SMALLCAP
704,VINDHYATEL,Vindhya Telelinks Limited,206958,SMALLCAP
705,FIEMIND,Fiem Industries Limited,206057,SMALLCAP
706,TASTYBITE,Tasty Bite Eatables Limited,205854,SMALLCAP
707,JAYNECOIND,Jayaswal Neco Industries Limited,205366,SMALLCAP
708,HONDAPOWER,Honda India Power Products Limited,204302,SMALLCAP
709,UNICHEMLAB,Unichem Laboratories Limited,203965,SMALLCAP
710,MUKANDLTD,Mukand Limited,203811,SMALLCAP
711,CIGNITITEC,Cigniti Technologies Limited,203337,SMALLCAP
712,MMFL,MM Forgings Limited,202578,SMALLCAP
713,VENKEYS,Venky's (India) Limited,202548,SMALLCAP
714,RAMKY,Ramky Infrastructure Limited,201815,SMALLCAP
715,DIVGIITTS,Divgi Torqtransfer Systems Limited,201373,SMALLCAP
716,CAMLINFINE,Camlin Fine Sciences Limited,200216,SMALLCAP
717,SHILPAMED,Shilpa Medicare Limited,198646,SMALLCAP
718,GULFOILLUB,Gulf Oil Lubricants India Limited,198250,SMALLCAP
719,MOL,Meghmani Organics Limited,197602,SMALLCAP
720,DOLLAR,Dollar Industries Limited,197259,SMALLCAP
721,VSTTILLERS,V.S.T Tillers Tractors Limited,196493,SMALLCAP
722,SUBROS,Subros Limited,195740,SMALLCAP
723,DCAL,Dishman Carbogen Amcis Limited,195587,SMALLCAP
724,GABRIEL,Gabriel India Limited,195428,SMALLCAP
725,MAXVIL,Max Ventures and Industries Limited,195207,SMALLCAP
726,SIYSIL,Siyaram Silk Mills Limited,195073,SMALLCAP
727,TVSSRICHAK,TVS Srichakra Limited,194876,SMALLCAP
728,ASTRAMICRO,Astra Microwave Products Limited,194616,SMALLCAP
729,JKIL,J.Kumar Infraprojects Limited,192493,SMALLCAP
730,JAGRAN,Jagran Prakashan Limited,191281,SMALLCAP
731,ELECTCAST,Electrosteel Castings Limited,190868,SMALLCAP
732,CARERATING,CARE Ratings Limited,190787,SMALLCAP
733,INDIAGLYCO,India Glycols Limited,190289,SMALLCAP
734,BALMLAWRIE,Balmer Lawrie & Company Limited,189643,SMALLCAP
735,KOLTEPATIL,Kolte - Patil Developers Limited,189441,SMALLCAP
736,IMAGICAA,Imagicaaworld Entertainment Limited,188483,SMALLCAP
737,WELENT,Welspun Enterprises Limited,188304,SMALLCAP
738,TIPSINDLTD,TIPS Industries Limited,187548,SMALLCAP
739,SWARAJENG,Swaraj Engines Limited,186980,SMALLCAP
740,MAYURUNIQ,Mayur Uniquoters Ltd,184623,SMALLCAP
741,GANECOS,Ganesha Ecosphere Limited,184317,SMALLCAP
742,PARAS,Paras Defence and Space Technologies Limited,183437,SMALLCAP
743,LUMAXTECH,Lumax Auto Technologies Limited,183276,SMALLCAP
744,ACCELYA,Accelya Solutions India Limited,182056,SMALLCAP
745,KESORAMIND,Kesoram Industries Limited,182023,SMALLCAP
746,CARTRADE,Cartrade Tech Limited,181964,SMALLCAP
747,MPSLTD,MPS Limited,181647,SMALLCAP
748,SEQUENT,Sequent Scientific Limited,181089,SMALLCAP
749,HIL,HIL Limited,180965,SMALLCAP
750,GUFICBIO,Gufic Biosciences Limited,180705,SMALLCAP
751,ITDCEM,ITD Cementation India Limited,179260,SMALLCAP
752,PILANIINVS,Pilani Investment and Industries Corporation Limited,179227,SMALLCAP
753,MSTCLTD,Mstc Limited,178042,SMALLCAP
754,LSIL,Lloyds Steels Industries Limited,177404,SMALLCAP
755,PANAMAPET,Panama Petrochem Limited,176762,SMALLCAP
756,OPTIEMUS,Optiemus Infracom Limited,176694,SMALLCAP
757,SIRCA,Sirca Paints India Limited,176635,SMALLCAP
758,TIRUMALCHM,Thirumalai Chemicals Limited,175903,SMALLCAP
759,DYNAMATECH,Dynamatic Technologies Limited,175176,SMALLCAP
760,SUNDARMHLD,Sundaram Finance Holdings Limited,175129,SMALLCAP
761,TIMETECHNO,Time Technoplast Limited,174133,SMALLCAP
762,DBCORP,D.B.Corp Limited,173579,SMALLCAP
763,ASHIANA,Ashiana Housing Limited,173077,SMALLCAP
764,CONFIPET,Confidence Petroleum India Limited,172963,SMALLCAP
765,DIAMONDYD,Prataap Snacks Limited,172743,SMALLCAP
766,NUCLEUS,Nucleus Software Exports Limited,171162,SMALLCAP
767,GREENPLY,Greenply Industries Limited,170737,SMALLCAP
768,JPASSOCIAT,Jaiprakash Associates Limited,170594,SMALLCAP
769,WENDT,Wendt (India) Limited,170174,SMALLCAP
770,FINOPB,Fino Payments Bank Limited,169965,SMALLCAP
771,FMGOETZE,Federal-Mogul Goetze (India) Limited.,169956,SMALLCAP
772,SANGHIIND,Sanghi Industries Limited,169849,SMALLCAP
773,VAKRANGEE,Vakrangee Limited,169520,SMALLCAP
774,GNA,GNA Axles Limited,169094,SMALLCAP
775,AMRUTANJAN,Amrutanjan Health Care Limited,168368,SMALLCAP
776,EMUDHRA,eMudhra Limited,167738,SMALLCAP
777,DATAMATICS,Datamatics Global Services Limited,167534,SMALLCAP
778,SHARDAMOTR,Sharda Motor Industries Limited,166854,SMALLCAP
779,IOLCP,IOL Chemicals and Pharmaceuticals Limited,166049,SMALLCAP
780,LUMAXIND,Lumax Industries Limited,165385,SMALLCAP
781,BAJAJHIND,Bajaj Hindusthan Sugar Limited,164779,SMALLCAP
782,STYLAMIND,Stylam Industries Limited,164608,SMALLCAP
783,ANDHRAPAP,ANDHRA PAPER LIMITED,164588,SMALLCAP
784,SOTL,Savita Oil Technologies Limited,163803,SMALLCAP
785,ADFFOODS,ADF Foods Limited,163433,SMALLCAP
786,VIDHIING,Vidhi Specialty Food Ingredients Limited,162821,SMALLCAP
787,KABRAEXTRU,Kabra Extrusion Technik Limited,162665,SMALLCAP
788,BEPL,Bhansali Engineering Polymers Limited,162588,SMALLCAP
789,RUPA,Rupa & Company Limited,162429,SMALLCAP
790,NACLIND,NACL Industries Limited,162117,SMALLCAP
791,VSSL,Vardhman Special Steels Limited,161372,SMALLCAP
792,VISHNU,Vishnu Chemicals Limited,161331,SMALLCAP
793,DWARKESH,Dwarikesh Sugar Industries Limited,160715,SMALLCAP
794,DHANI,Dhani Services Limited,160158,SMALLCAP
795,BANCOINDIA,Banco Products (I) Limited,160094,SMALLCAP
796,KINGFA,Kingfa Science & Technology (India) Limited,159622,SMALLCAP
797,SUBEXLTD,Subex Limited,159609,SMALLCAP
798,HINDOILEXP,Hindustan Oil Exploration Company Limited,159018,SMALLCAP
799,RTNPOWER,RattanIndia Power Limited,158418,SMALLCAP
800,VADILALIND,Vadilal Industries Limited,157856,SMALLCAP
801,BBOX,Black Box Limited,156739,SMALLCAP
802,ORCHPHARMA,Orchid Pharma Limited,156429,SMALLCAP
803,PURVA,Puravankara Limited,154977,SMALLCAP
804,COSMOFIRST,COSMO FIRST LIMITED,154165,SMALLCAP
805,IMFA,Indian Metals & Ferro Alloys Limited,153742,SMALLCAP
806,SUPRIYA,Supriya Lifescience Limited,153521,SMALLCAP
807,SAKSOFT,Saksoft Limited,152986,SMALLCAP
808,IIFLSEC,IIFL Securities Limited,152843,SMALLCAP
809,SANGHVIMOV,Sanghvi Movers Limited,152439,SMALLCAP
810,GOKULAGRO,Gokul Agro Resources Limited,151675,SMALLCAP
811,ALEMBICLTD,Alembic Limited,151630,SMALLCAP
812,VENUSPIPES,Venus Pipes & Tubes Limited,151409,SMALLCAP
813,SEAMECLTD,Seamec Limited,151291,SMALLCAP
814,TNPL,Tamil Nadu Newsprint & Papers Limited,151087,SMALLCAP
