stock1 - stock2,corr
./data\20MICRONS.json - ./data\ANDHRAPAP.json,0.18238747589481544
./data\20MICRONS.json - ./data\ANDHRSUGAR.json,0.08250878633625379
./data\20MICRONS.json - ./data\ANDREWYU.json,
./data\20MICRONS.json - ./data\ANGELONE.json,
./data\20MICRONS.json - ./data\ANIKINDS.json,0.05552678959071167
./data\20MICRONS.json - ./data\ANKITMETAL.json,-0.011153369614261763
./data\20MICRONS.json - ./data\ANMOL.json,
./data\20MICRONS.json - ./data\ANSALAPI.json,0.1977444378590475
./data\20MICRONS.json - ./data\ANTGRAPHIC.json,-0.022360253086017256
./data\20MICRONS.json - ./data\ANUP.json,
./data\20MICRONS.json - ./data\ANURAS.json,
./data\20MICRONS.json - ./data\APARINDS.json,0.1530193735649196
./data\20MICRONS.json - ./data\APCL.json,0.00183178097236102
./data\20MICRONS.json - ./data\APCOTEXIND.json,0.0045139674616406075
./data\20MICRONS.json - ./data\APEX.json,0.04261125172481241
./data\20MICRONS.json - ./data\APLAPOLLO.json,-0.0046705360019082594
./data\20MICRONS.json - ./data\APLLTD.json,0.005965977990612074
./data\20MICRONS.json - ./data\APOLLO.json,0.13046879029219557
./data\20MICRONS.json - ./data\APOLLOHOSP.json,0.13046879029219557
./data\20MICRONS.json - ./data\APOLLOPIPE.json,-0.012461767328323945
./data\20MICRONS.json - ./data\APOLLOTYRE.json,0.1979352423852008
./data\20MICRONS.json - ./data\APOLSINHOT.json,-0.02457794600327425
./data\20MICRONS.json - ./data\APTECHT.json,0.23680085972149717
./data\20MICRONS.json - ./data\APTUS.json,
./data\20MICRONS.json - ./data\ARCHIDPLY.json,0.04642661888461175
./data\20MICRONS.json - ./data\ARCHIES.json,0.20772549611296223
./data\20MICRONS.json - ./data\ARENTERP.json,-0.0870041478749624
./data\20MICRONS.json - ./data\ARIES.json,0.23276722417931145
./data\20MICRONS.json - ./data\ARIHANTCAP.json,
./data\20MICRONS.json - ./data\ARIHANTSUP.json,0.021938083299845004
./data\20MICRONS.json - ./data\ARMANFIN.json,0.008629599030451534
./data\20MICRONS.json - ./data\AROGRANITE.json,-0.00039503989169764863
./data\20MICRONS.json - ./data\ARROWGREEN.json,-0.020144944387803152
./data\20MICRONS.json - ./data\ARSHIYA.json,0.19852684166317452
./data\20MICRONS.json - ./data\ARSSINFRA.json,0.11242793648379798
./data\20MICRONS.json - ./data\ARTEMISMED.json,-0.14034853561524732
./data\20MICRONS.json - ./data\ARTNIRMAN.json,0.06678553649272932
./data\20MICRONS.json - ./data\ARVEE.json,0.0015602591178509604
./data\20MICRONS.json - ./data\ARVIND.json,0.2123456261620763
./data\20MICRONS.json - ./data\ARVINDFASN.json,-0.010953470414029576
./data\20MICRONS.json - ./data\ARVSMART.json,-0.031943278052088034
./data\20MICRONS.json - ./data\ASAHIINDIA.json,0.19829562663829853
./data\20MICRONS.json - ./data\ASAHISONG.json,-0.0077949759562651
./data\20MICRONS.json - ./data\ASAL.json,-0.05858637443408497
./data\20MICRONS.json - ./data\ASALCBR.json,-0.05858637443408497
./data\20MICRONS.json - ./data\ASHAPURMIN.json,0.19279439864039122
./data\20MICRONS.json - ./data\ASHIANA.json,-0.011127640465239999
./data\20MICRONS.json - ./data\ASHIMASYN.json,-0.022642294994406342
./data\20MICRONS.json - ./data\ASHOKA.json,0.0003019981724892676
./data\20MICRONS.json - ./data\ASHOKAMET.json,
./data\20MICRONS.json - ./data\ASHOKLEY.json,0.23813080292148497
./data\20MICRONS.json - ./data\ASIANENE.json,
./data\20MICRONS.json - ./data\ASIANHOTNR.json,0.009854623432547225
./data\20MICRONS.json - ./data\ASIANPAINT.json,0.17560077359321002
./data\20MICRONS.json - ./data\ASIANTILES.json,0.04204887521438666
./data\20MICRONS.json - ./data\ASMS.json,0.1483569374420614
./data\20MICRONS.json - ./data\ASPINWALL.json,0.03200531941669659
./data\20MICRONS.json - ./data\ASTEC.json,0.03627136575183155
./data\20MICRONS.json - ./data\ASTERDM.json,-0.00024295327113978168
./data\20MICRONS.json - ./data\ASTRAL.json,0.01682478799909137
./data\20MICRONS.json - ./data\ASTRAMICRO.json,0.18310095337929938
./data\20MICRONS.json - ./data\ASTRAZEN.json,-0.006065868937725102
./data\20MICRONS.json - ./data\ASTRON.json,-0.046411777449959335
./data\20MICRONS.json - ./data\ATALREAL.json,
./data\20MICRONS.json - ./data\ATAM.json,
./data\20MICRONS.json - ./data\ATFL.json,0.17600883113720217
./data\20MICRONS.json - ./data\ATGL.json,0.12166404949094842
./data\20MICRONS.json - ./data\ATL.json,
./data\20MICRONS.json - ./data\ATLANTA.json,0.16586248971330006
./data\20MICRONS.json - ./data\ATUL.json,0.17869114778453735
./data\20MICRONS.json - ./data\ATULAUTO.json,0.014976553348122625
./data\20MICRONS.json - ./data\AUBANK.json,0.006414021383817132
./data\20MICRONS.json - ./data\AURIONPRO.json,-0.003941797829227788
./data\20MICRONS.json - ./data\AUROPHARMA.json,0.1670488798785761
./data\20MICRONS.json - ./data\AURUM.json,-0.03583045746772261
./data\20MICRONS.json - ./data\AUSOMENT.json,-0.01615547592494095
./data\20MICRONS.json - ./data\AUTOAXLES.json,0.01701087602735564
./data\20MICRONS.json - ./data\AUTOIND.json,0.1920131019097096
./data\20MICRONS.json - ./data\AVADHSUGAR.json,0.0665127111644147
