,PE
3MINDIA,63.08412089365012
AARTIDRUGS,8.208607428335409
AARTIIND,24.602162655894542
ACE,7.451690573661019
ADANIPORTS,13.41579343707425
AEGISCHEM,45.02437877006271
BBOX,-8.432502505414854
ATFL,26.256003562581665
AIAENG,21.987667836440526
AJANTPHARM,24.864995248930107
ALKYLAMINE,11.232845391328162
ALLCARGO,6.226462729701912
ALOKINDS,0.4364640936667089
AMARAJABAT,11.916178774544052
ANANTRAJ,9.101343904864198
APARINDS,7.862025398090228
APOLLOHOSP,34.487222560684245
APOLLOTYRE,9.218160530813888
ARVIND,5.236403491045978
ASAHIINDIA,24.338326273085194
ASHOKLEY,35.65958769425102
ASIANPAINT,57.78935858543883
ASTRAMICRO,9.850137064776083
ASTRAZEN,82.49758393706747
ATUL,17.51001792573935
AUROPHARMA,8.28939874639621
AUTOAXLES,13.737412676226121
AXISBANK,55.29239593103724
BAJAJ-AUTO,9.830700263596006
BAJAJELEC,-297.7845386930913
BAJFINANCE,24.3444210943592
BAJAJFINSV,21.651463425266442
BAJAJHIND,-5.888889100816516
BAJAJHLDNG,6.169211523873465
BALAMINES,7.685981802388923
BALKRISIND,15.464317942703087
BALMLAWRIE,6.851050659050239
BALRAMCHIN,4.3154371476417515
BANKBARODA,21.76179228157833
BANKINDIA,-3.1997741601718497
MAHABANK,10.98020595052968
BANARISUG,11.073769969147436
BASF,209.2304042600236
BATAINDIA,45.86160174567702
BEML,28.77008843128033
BERGEPAINT,60.43717423839682
BEL,9.200100696390722
BHARATFORG,30.62332905084887
BHEL,-4.889631384625288
BPCL,17.070827742046646
BHARATRAS,13.898316531850526
BHARTIARTL,-6.995764565437597
BIOCON,42.245106757441654
BIRLACORPN,6.054433496986948
BSOFT,7.210077927821074
BLUEDART,-121.97993618020125
BLUESTARCO,29.76280063611193
BBTC,8.505561139076166
BOMDYEING,2.8706193045392006
BRIGADE,20.160198659404344
BRITANNIA,41.601273799003856
ZYDUSLIFE,22.391092351875272
CANFINHOME,9.63261697144635
CANBK,-3.574574140479863
CARBORUNIV,15.156932669103435
CCL,13.749555329274633
CEATLTD,13.552603955991998
CENTRALBK,-4.553903345724907
CENTURYPLY,16.225838450203952
CENTURYTEX,8.863457262698299
CERA,26.20333459982918
CESC,3.5838194785444375
CGPOWER,-0.23788574970129764
CHAMBLFERT,3.405422979848205
CHENNPETRO,-0.4035198921573758
CHOLAFIN,11.280369206628663
CIPLA,21.455099434825264
CUB,19.582733107201843
COFORGE,15.335220227907445
COLPAL,38.292940611207115
CONCOR,47.327990747838264
COROMANDEL,14.478575280830686
COSMOFIRST,3.2491572786573824
CUMMINSIND,11.952374351516452
DABUR,53.4027248839586
DALMIASUG,1.9653050231294347
DCMSHRIRAM,4.454999347683447
DEEPAKFERT,6.891924354378017
DCBBANK,8.499559874928327
DISHTV,-0.4753521350627774
DCAL,5.282178066744662
DIVISLAB,37.30919833353423
DLF,-55.494772250226916
DRREDDY,25.571951495545065
EIDPARRY,5.047328572267842
ECLERX,6.35931278389501
EDELWEISS,-1.553062893213888
EICHERMOT,19.100339061916543
EIHOTEL,24.980377316011065
ELECON,2.3530843111689905
ELGIEQUIP,41.07841093148758
EMAMILTD,24.16149179438601
ENGINERSIN,7.882170243696733
ESABINDIA,20.611167118467133
ESCORTS,11.890974710153978
EPL,21.950344045049704
EVEREADY,2.0566653388886853
EXIDEIND,13.977921400341476
FDC,13.984935218668737
FACT,2.1444515460998375
GNFC,3.1359962236994305
FINCABLES,7.589820142737766
FINPIPE,14.192537051528246
FSL,5.1354478330028295
FORTIS,163.3332785073813
GAIL,3.1683227598815016
GANESHHOUC,-0.7197855925550222
GARFIBRES,16.662991124868615
GEPIL,37.32324306081702
GET&D,-6.082910450581972
GHCL,2.067954357759452
GICHSGFIN,6.1490123077716845
GLAXO,208.03162730823863
GLENMARK,7.343768310546874
GMRINFRA,-4.057072054955267
GPIL,8.35530474300292
GODFRYPHLP,11.887886317412102
GODREJCP,35.57718412472251
GODREJIND,17.202308256165512
GOKEX,4.578514099121094
GRANULES,10.703324440123911
GRAPHITE,52.52560159434444
GRASIM,6.9618776702199865
GESHIP,13.102143122099736
GREAVESCOT,12.765399791576243
GREENPLY,20.746798824954343
GRINDWELL,26.16199752659474
GTLINFRA,-0.17123287671232876
GUJALKALI,4.540368763022273
GAEL,16.33369877653302
GMDCLTD,6.102587188919299
GSFC,11.896947687322443
GSPL,5.390819193721207
GOCLCORP,11.885723114013672
GVKPIL,-0.23784355179704014
HMT,1.906392781157472
HAVELLS,40.10418223685959
HBLPOWER,11.27889633178711
HCLTECH,9.497014894075921
HDFCBANK,17.623537772592062
HEG,26.129042394629355
HEIDELBERG,9.965090134943932
HERITGFOOD,-11.738928393689628
HEROMOTOCO,7.946097797788567
HIKAL,9.936882074731981
HIL,4.211801733351928
HFCL,5.076673475362487
HSCL,5.939761781401158
HIMATSEIDE,43.564277931495944
HINDALCO,5.495325424032201
HGS,4.626467049460345
HCC,3.0384615751413198
HINDOILEXP,3.3221797323135753
HINDPETRO,8.462039868220446
HINDUNILVR,69.21354605289541
HINDZINC,5.633248933570715
JCHAC,69.71172320337948
HONAUT,46.161231684446285
AGI,5.099358437485402
AKZOINDIA,38.62035163368621
